LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1230;Validar Contabilizacao;Não Executado;;Contabilizacao validada;Validar Contabilizacao;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1240;Executar o Relatorio dos Titulos a Pagar em Aberto (GAP CPR#04);Não Executado;;Acesso ao Relatorio de Titulos a Pagar;Ferramentas > Processos Programados > Programar Novo Processo > Preencha o nome do relatorio >  Preencha os parâmetros e clique em Submeter;Financeiro;Fusion: FDC;Roberta Bezerra;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1250;Realizar Analise dos Titulos para Pagamento (GAP CPR#04);Não Executado;;Analise e se necessário Manutenção do Titulo;Analisar os titulos para pagamento e se necessário solicitar as manutenções para o Time de Controladoria;Financeiro;Fusion: FDC;Roberta Bezerra;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1260;OIC - Movimentação do Arquivo Remessa para pasta da VAN FINNET;Não Executado;;Arquivo de remesssa disponivel para FINNET;Através do OIC o arquivo de remessa de pagamentos deverá estar disponivel para FINNET;Financeiro;Fusion: FDC;Roberta Bezerra;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1270;FINNET - Arquivo de Remessa de Pagamentos disponivel para aprovação e envio a Instituição Bancária;Não Executado;;Arquivo de remesssa de pamento aprovado e enviado ao Banco;O arquivo de remessa de pagamentos deverá estar disponivel para FINNET para aprovação e envio ao Banco;Financeiro;Fusion: FDC;Roberta Bezerra;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1280;Validar Contabilização: Selecionar Tarefa Contabilidade do Sub-razao;Não Executado;;Contabilização e Análise Contábil realizada.;Navegador > Contabilidade Geral > Lancamentos > Menu Tarefa > Contabilidade do Sub-razao > Verificar Lancamentos do Sub-Razao > Informar os parametros necessarios e obrigatorios;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1290;Validar Contabilização: Verificar Lancamentos do Sub-Razao;Não Executado;;Contabilização e Análise Contábil realizada.;Verificar Lancamentos do Sub-Razao;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1300;Validar Contabilização: Informar os parametros necessarios e obrigatorios;Não Executado;;Contabilização e Análise Contábil realizada.;Informar os parametros necessarios e obrigatorios;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1310;Validar Contabilização: Pesquisar lancamentos;Não Executado;;Contabilização e Análise Contábil realizada.;Pesquisar lancamentos;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1320;Validar Contabilizacao;Não Executado;;Contabilização e Análise Contábil realizada.;Validar Contabilizacao;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1330;"Contabilizar a NF e Pagamentos ""FINAL""""""";Não Executado;;Contabilização e Análise Contábil realizada.;1) Manual: Contas a Pagar > Tarefas > NFFs/Pagamentos > Acoes > Contabilizar como Final  2) Programado: Ferramentas > Processos Programados > Criar Contabilidade > Parametros:   Aplicativo do Sub-Razão: Contas a Pagar  Razão: (Informar o Razão da Empresa)  Data Final: (Sysdate)  Modo de Contabilidade: Final  Eventos do Processo: Todos  Estilo do Relatório: Detalhes  Transferir para Razão Geral: Sim  Contabilizar no Razão Geral: Não  *Incluir Identificadores de Transação do Usuário: Não;Controladoria;Fusion: FDC;Walceir Hernandes;;
RenatoMezzalira;COM_EDIT_DOWNLOAD;PLUMA_AGRO.PTM.2232.V3;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.PTM.2232.V3"").click()";GRF.07.50067 - FABRICA DE RACAO - OUTRAS ENTRADAS DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADA;1;tr_child_300;1340;Escrituração fiscal do Documento;Não Executado;;Conferencias Fiscais e Obrigações Acessórias;Escrituração fiscal do Documento para Obrigações Acessórias;Fiscal;Fusion: FDC;Deise Cristiane da Rosa;;
