LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
Camila;COM_EDIT_DOWNLOAD;PLUMA_AGRO.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.CTL.053.V4"").click()";GAF.10 - GERENCIAR LIVRO FISCAL (INICIAL);1;tr_child_23;10;GAF-10.010 - Gerar Copia entre Livros (Cópia inicial);Sucesso;;Copia inicial executada com sucesso.  Ativos copiados.;"Processo para realizar a Copia entre Livros do Oracle Fusion FA (Origem Livro Corporativo para Destino Livro Fiscal).    Seguem passos para realizar a Copia inicial:    •	Faça login no Oracle Fusion Cloud  •	Va ate o menu ferramenta  •	Acesse o aplicativo ""Processos Programados""  •	Execute o job ""Executar Cópia Global Inicial""            *Informe o Livro Fiscal            *Submeter o job para execução.";Controladoria;Fusion: FA;Camila Lorena Maciel;;
Camila;COM_EDIT_DOWNLOAD;PLUMA_AGRO.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.CTL.053.V4"").click()";GAF.10 - GERENCIAR LIVRO FISCAL (INICIAL);1;tr_child_23;20;GAF-10.030 - Gerar Depreciação do Livro Fiscal;Sucesso;;Depreciação executada com sucesso.;Execute a depreciação do Livro Fiscal.    Passos para Executar a Depreciação Fiscal:  •	Acesse Painel de Tarefas ¿ Processar Depreciação.  •	No campo Livro de Ativos, selecione o Livro Fiscal.  •	Escolha o Período Contábil a ser processado.  •	Clique em Submeter para iniciar o cálculo da depreciação.  •	Monitore o processo na fila de execução.  •	Se houver erros, revise os logs e corrija problemas, como ativos sem método de depreciação configurado.;Controladoria;Fusion: FA;Camila Lorena Maciel;;
Camila;COM_EDIT_DOWNLOAD;PLUMA_AGRO.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.CTL.053.V4"").click()";GAF.10 - GERENCIAR LIVRO FISCAL (INICIAL);1;tr_child_23;30;GAF-10.040 - Disponibilizar relatório de Depreciação do Livro Fiscal;Sucesso;;Relatorio gerado e disponibilizado.;Após a depreciação, é essencial gerar relatórios fiscais para auditorias e conformidade tributária.    Passos para Gerar Relatórios de Depreciação:  •	Acesse Painel de Tarefas ¿ Relatórios de Ativos.  •	Escolha um dos relatórios abaixo:            *Relatório de Depreciação Fiscal: Lista a depreciação dos ativos no livro fiscal.            *Relatório de Ativos por Categoria: Exibe os ativos agrupados por categoria fiscal.            *Relatório de Baixa de Ativos: Mostra os ativos baixados e o impacto fiscal.  •	Selecione o Livro Fiscal e o Período Contábil.  •	Clique em Executar Relatório e escolha o formato de saída.  •	Analise os dados e exporte os relatórios conforme necessário.;Controladoria;Fusion: FA;Camila Lorena Maciel;;
