LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
Camila;COM_EDIT_DOWNLOAD;CASSILANDIA.CTL.023.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""CASSILANDIA.CTL.023.V4"").click()";CASSILANDIA-GAF.06.1 - DEPRECIAR ATIVOS (Preliminar);1;editar_indice_0;10;GAF-06.1.010 - Selecionar Livro  GAF-06.1.020 - Submeter Depreciação Preliminar;Sucesso;;Depreciação enviada e processada.;O processo de depreciação do Oracle Fusion Assets, é gerada separadamente para cada livro de ativos, logo, havendo mais de um livro de ativos, deve-se executar o processo de depreciação para cada livro.  Passos para Processar a Depreciação de Ativos no Oracle Fusion Assets:  •	Acessar o Módulo de Ativos Fixos            *Navegue até o menu “Ativos Fixos”.            *Em aplicativos selecione a opção “Mostrar Mais”.            *Selecione a opção “Calcular Depreciação”.            *Selecione o livro desejado.    •	Acessar opção “Avançadas”:            *Opção “Notificar-me quando este processo for encerrado”:   No cabeçalho geral, pode-se marcar a opção “Notificar-me quando este processo for encerrado”, caso seja marcada está opção, ao final do processo de execução da depreciação, será enviada notificação para a página inicial do usuário e notificação por e-mail.   Esta opção é útil para os casos em que a base de ativos é extensa o que pode gerar um tempo longo para execução do processo de depreciação.    Na aba “Agendar” pode-se agendar dia e horário para execução da depreciação.            *Na aba “Notificação”, pode-se informar outros usuários para receber notificação assim que a execução for finalizada.            *Opção “Notas de Submissão”:             No cabeçalho geral, pode-se incluir “Notas de Submissão”, este é um campo texto livro em que se pode colocar anotações caso necessário.            *Após preencher os dados necessários clique em “Submeter”, para iniciar o processo de depreciação. Será disparado um programa para este fim.;Controladoria;Fusion: FA;Camila Lorena Maciel;;
Camila;COM_EDIT_DOWNLOAD;CASSILANDIA.CTL.023.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""CASSILANDIA.CTL.023.V4"").click()";CASSILANDIA-GAF.06.1 - DEPRECIAR ATIVOS (Preliminar);1;editar_indice_0;20;GAF-06.1.030 - Validar Cálculo de Depreciação;Sucesso;;Relatorio gerado com sucesso.  Valores gerados corretamente.;Pode-se consultar individualmente a depreciação dos ativos, pode-se gerar relatório para verificar a depreciação do período.   Passos para Validar a Depreciação de Ativos no Oracle Fusion Assets:  •	Revisar os Resultados da Depreciação consultando o ativo individualmente por tela:  Seguem passos para realizar a consulta:            *Acessar Oracle Fusion Assets.            *Acessar Menu “Ativos Fixos”.            *Em aplicativos acessar “Ativo”.            *Em tarefas selecione a opção “Pesquisar Ativos”.            *Pesquise o ativo por “Categoria”, ou por “Número do Ativo”, ou por “Número da Etiqueta” ou por “Número de Série”.            *Na aba “Depreciação”, verifique os detalhes dos cálculos de depreciação.    •	Revisar os Resultados da Depreciação consultando por relatório:  Seguem passos para realizar a consulta:            *Acessar Oracle Fusion Assets.            *Acessar Menu “Ferramentas”.            *Em aplicativos acessar “Processos Programados”.            *Selecione a opção “Programar Novo Processo”.            *Selecione o Relatório “Relatório Detalhado de Reserva”.            *Informe os parâmetros, “Livro”, “Período De”, “Período Até” e clique “Submeter”.            *Verifique o relatório gerado.;Controladoria;Fusion: FA;Camila Lorena Maciel;;
