LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
Walceir;COM_EDIT_DOWNLOAD;BELLO.CTL.033.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.CTL.033.V4"").click()";CON-01 -Reverter Lancamentos Contabeis;1;tr_child_105;10;Buscar Lancamento a ser estornado;Sucesso;;Lancamento encontrado;Navegador > Contabilidade Geral > Lancamentos > Tarefas > Gerenciar Lancamentos > Pesquisar Lancamentos;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;BELLO.CTL.033.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.CTL.033.V4"").click()";CON-01 -Reverter Lancamentos Contabeis;1;tr_child_105;20;Acoes e Reverter Lancamentos;Sucesso;;Lancamento revertido;> Acoes do Lote ou Acoes do Lancamento > Reverter;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;BELLO.CTL.033.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.CTL.033.V4"").click()";CON-01 -Reverter Lancamentos Contabeis;1;tr_child_105;30;Validar Lote Revertido;Sucesso;;Lancamento validado;Validar Lote Revertido;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;BELLO.CTL.033.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""BELLO.CTL.033.V4"").click()";CON-01 -Reverter Lancamentos Contabeis;1;tr_child_105;40;Submeter Lancamento para Aprovacao;Sucesso;;Lancamento contabilizado;Submeter Lancamento para Aprovacao;Controladoria;Fusion: GL;Walceir Hernandes;;
