LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
Walceir;COM_EDIT_DOWNLOAD;COPRIMAR.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""COPRIMAR.CTL.053.V4"").click()";COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;1;tr_child_41;10;Informar Dados de Lancamento;Sucesso;;Dados obrigatorios informados;Criar Lancamentos > Informar Dados de Lancamento;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;COPRIMAR.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""COPRIMAR.CTL.053.V4"").click()";COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;1;tr_child_41;20;Realizar lancamento Conta Contabil com restricao Lancamentos Manuais;Sucesso;;Lancamento nao permitido;Criar Lancamentos > Informar Dados de Lancamento > Informar Conta Contabil nao permitida;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;COPRIMAR.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""COPRIMAR.CTL.053.V4"").click()";COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;1;tr_child_41;30;Realizar lancamento Regras de Validacao;Sucesso;;Lancamento nao permitido;Criar Lancamentos > Informar Dados de Lancamento > Informar Combinacao contabil invalida;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;COPRIMAR.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""COPRIMAR.CTL.053.V4"").click()";COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;1;tr_child_41;40;Submeter Lancamento para Aprovacao;Sucesso;;Lancamento contabilizado;Submeter Lancamento para Aprovacao;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;COPRIMAR.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""COPRIMAR.CTL.053.V4"").click()";COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;1;tr_child_41;50;Validar Contabilizacao;Sucesso;;Contabilizacao validada;Validar Contabilizacao;Controladoria;Fusion: GL;Walceir Hernandes;;
