LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
Walceir;COM_EDIT_DOWNLOAD;FPM.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""FPM.CTL.053.V4"").click()";FPM ADMINISTRACAO E PARTICIPACOES LTDA;1;tr_child_144;10;Selecionar em Contabilidade;Sucesso;;Modulo acessado;Navegador > Contabilidade Geral > Fechamento do> Contabilidade;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;FPM.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""FPM.CTL.053.V4"").click()";FPM ADMINISTRACAO E PARTICIPACOES LTDA;1;tr_child_144;20;Selecionar em Gerenciar Periodos Contabeis;Sucesso;;Tarefa acessada;Navegador > Contabilidade Geral > Fechamento do> Contabilidade;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;FPM.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""FPM.CTL.053.V4"").click()";FPM ADMINISTRACAO E PARTICIPACOES LTDA;1;tr_child_144;30;Selecionar no Razao;Sucesso;;Tipo de transacao selecionada;Navegador > Contabilidade Geral > Fechamento do> Contabilidade;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;FPM.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""FPM.CTL.053.V4"").click()";FPM ADMINISTRACAO E PARTICIPACOES LTDA;1;tr_child_144;40;Escolher o Periodo;Sucesso;;Periodo selecionado;Navegador > Contabilidade Geral > Fechamento do> Contabilidade;Controladoria;Fusion: GL;Walceir Hernandes;;
Walceir;COM_EDIT_DOWNLOAD;FPM.CTL.053.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""FPM.CTL.053.V4"").click()";FPM ADMINISTRACAO E PARTICIPACOES LTDA;1;tr_child_144;50;Selecionar em Abrir Periodo;Sucesso;;Periodo aberto;Selecionar em Abrir Periodo;Controladoria;Fusion: GL;Walceir Hernandes;;
