LIDER_CENARIO;STATUS_EDIT_CENARIO;IDENTIFICADOR_DE_CENARIO;COMANDO_CENARIO_EXECUCOES;NOME_CENARIO;PAGINA_APEX;ORIGEM_LINHA;Seq.;Atividade;Resultado;Comentário;Resultado Esperado;Descrição;Área de Negocio;Módulo/Sistema;Usuário Responsável;Anotações;Tempo (Minutos)
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.003.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.003.V4"").click()";DES.05 - REALIZAR FECHAMENTO MENSAL - DESPESAS;1;tr_child_12;10;Submeter relatorios pendentes;Sucesso;;Relatorio de despesa submetido;Notificar usuarios para que enviem relatorios de Despesas e/ou adiantamentos pendentes > Funcionarios deverao Clicar em Li e aceito as politicas de viagem e despesas corporativas> Clicar em Enviar;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.003.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.003.V4"").click()";DES.05 - REALIZAR FECHAMENTO MENSAL - DESPESAS;1;tr_child_12;20;Realizar aprovacao e auditoria de relatorios;Sucesso;;Reembolso de despesa auditado;Navegador> Auditoria> Em Tarefas clicar em Gerenciar Relatorio de Despesas com usuario Auditor > Pesquisar relatorios Pendentes de Aprovacao e Auditoria e trabalhar para resolver pendências;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
LucasRamos;COM_EDIT_DOWNLOAD;PLUMA_AGRO.FCP.003.V4;"page.locator(""iframe[title=""Cenário e Execuções""]"").content_frame.get_by_text(""PLUMA_AGRO.FCP.003.V4"").click()";DES.05 - REALIZAR FECHAMENTO MENSAL - DESPESAS;1;tr_child_12;30;Transferir relatorios para contas a pagar;Sucesso;;Relatorio de despesa integrado para contas a pagar;Navegador> Auditoria> Em Tarefas clicar em Processar Reembolsos de Despesas e Adiantamentos em Dinheiro > Selecionar Unidade de Negocio> Escolher Tipo <Reembolso de Despesas> Clicar em Submeter;Financeiro;Fusion: Expenses;Jurema Lorenzoni;;
